sample_id,Type,UMAP1,UMAP2,motility_cluster
5-Good-D10-C2-ZT1-70-157-FOV230-256px_Statistics_mt_B-cell_5-Good-D10-C2-ZT1-70-157-FOV230-256px_Statistics_1000022432,mt_B-cell,9.970462,15.36753,1
6-Good-D10-C2-ZT2-20-107-FOV230-256px_Statistics_mt_B-cell_6-Good-D10-C2-ZT2-20-107-FOV230-256px_Statistics_1000009483,mt_B-cell,11.505459,16.23,1
6-Good-D10-C2-ZT2-20-107-FOV230-256px_Statistics_mt_B-cell_6-Good-D10-C2-ZT2-20-107-FOV230-256px_Statistics_1000015074,mt_B-cell,10.11691,16.064716,1
6-Good-D10-C2-ZT2-20-107-FOV230-256px_Statistics_mt_B-cell_6-Good-D10-C2-ZT2-20-107-FOV230-256px_Statistics_1000012048,mt_B-cell,10.742439,16.59344,1
6-Good-D10-C2-ZT2-20-107-FOV230-256px_Statistics_mt_B-cell_6-Good-D10-C2-ZT2-20-107-FOV230-256px_Statistics_1000013159,mt_B-cell,11.241874,17.242258,0
6-Good-D10-C2-ZT2-20-107-FOV230-256px_Statistics_mt_B-cell_6-Good-D10-C2-ZT2-20-107-FOV230-256px_Statistics_1000011612,mt_B-cell,10.686409,16.515114,1
6-Good-D10-C2-ZT2-20-107-FOV230-256px_Statistics_mt_B-cell_6-Good-D10-C2-ZT2-20-107-FOV230-256px_Statistics_1000000112,mt_B-cell,10.771592,16.695868,1
6-Good-D10-C2-ZT2-20-107-FOV230-256px_Statistics_mt_B-cell_6-Good-D10-C2-ZT2-20-107-FOV230-256px_Statistics_1000021061,mt_B-cell,10.324163,16.045444,1
6-Good-D11-C2-ZT6-30-117-FOV230-256px_Statistics_mt_B-cell_6-Good-D11-C2-ZT6-30-117-FOV230-256px_Statistics_1000001225,mt_B-cell,11.155091,16.049622,1
7-Good-D11-B2-ZT2-30-117-FOV230-256px_Statistics_mt_B-cell_7-Good-D11-B2-ZT2-30-117-FOV230-256px_Statistics_1000008222,mt_B-cell,10.955617,16.3947,1
7-Good-D11-B2-ZT2-30-117-FOV230-256px_Statistics_mt_B-cell_7-Good-D11-B2-ZT2-30-117-FOV230-256px_Statistics_1000000009,mt_B-cell,10.226116,16.090244,1
7-Good-D11-C-M2L-ZT1-063-150-FOV230-320px_Statistics_mt_B-cell_7-Good-D11-C-M2L-ZT1-063-150-FOV230-320px_Statistics_1000000068,mt_B-cell,11.211854,16.993876,1
7-Good-D11-C-M2L-ZT1-063-150-FOV230-320px_Statistics_mt_B-cell_7-Good-D11-C-M2L-ZT1-063-150-FOV230-320px_Statistics_1000000098,mt_B-cell,10.149918,15.330599,1
7-Good-D11-C-M2L-ZT1-063-150-FOV230-320px_Statistics_mt_B-cell_7-Good-D11-C-M2L-ZT1-063-150-FOV230-320px_Statistics_1000002562,mt_B-cell,11.026857,17.334543,1
7-Good-D11-C-M2L-ZT1-063-150-FOV230-320px_Statistics_mt_B-cell_7-Good-D11-C-M2L-ZT1-063-150-FOV230-320px_Statistics_1000007043,mt_B-cell,10.630388,16.452015,1
8-Good-D11-B2-ZT8-80-167-FOV230-256px_Statistics_mt_B-cell_8-Good-D11-B2-ZT8-80-167-FOV230-256px_Statistics_1000016931,mt_B-cell,11.441913,16.335217,1
8-Good-D11-B2-ZT8-80-167-FOV230-256px_Statistics_mt_B-cell_8-Good-D11-B2-ZT8-80-167-FOV230-256px_Statistics_1000000144,mt_B-cell,10.738851,15.859602,1
8-Good-D11-B2-ZT8-80-167-FOV230-256px_Statistics_mt_B-cell_8-Good-D11-B2-ZT8-80-167-FOV230-256px_Statistics_1000008672,mt_B-cell,10.819831,17.414295,0
8-Good-D11-B2-ZT8-80-167-FOV230-256px_Statistics_mt_B-cell_8-Good-D11-B2-ZT8-80-167-FOV230-256px_Statistics_1000012078,mt_B-cell,11.295724,16.824085,1
9-Good-D11-B2-ZT9-50-137-FOV230-256px_Statistics_mt_B-cell_9-Good-D11-B2-ZT9-50-137-FOV230-256px_Statistics_1000004109,mt_B-cell,10.731842,16.244564,1
1-Good-D09-C1-ZT1-70-157-FOV230-256px_Statistics_wt_B-cell_1-Good-D09-C1-ZT1-70-157-FOV230-256px_Statistics_1000011187,wt_B-cell,10.554597,16.347197,1
2-Good-D9-B-M1L-ZT1-070-157-FOV230-320px_Statistics_wt_B-cell_2-Good-D9-B-M1L-ZT1-070-157-FOV230-320px_Statistics_1000003605,wt_B-cell,10.958989,16.733618,1
4-Good-D10-B1-ZT1-45-132-FOV230-256px_Statistics_wt_B-cell_4-Good-D10-B1-ZT1-45-132-FOV230-256px_Statistics_1000002306,wt_B-cell,9.576703,15.584719,4
4-Good-D10-C1-ZT4-40-127-FOV230-256px_Statistics_wt_B-cell_4-Good-D10-C1-ZT4-40-127-FOV230-256px_Statistics_1000003742,wt_B-cell,11.505467,17.025078,0
5-Good-D10-C2-ZT1-70-157-FOV230-256px_Statistics_wt_B-cell_5-Good-D10-C2-ZT1-70-157-FOV230-256px_Statistics_1000003483,wt_B-cell,11.003351,16.62586,0
5-Good-D10-C2-ZT1-70-157-FOV230-256px_Statistics_wt_B-cell_5-Good-D10-C2-ZT1-70-157-FOV230-256px_Statistics_1000006937,wt_B-cell,10.90674,17.408974,1
6-Good-D10-C2-ZT2-20-107-FOV230-256px_Statistics_wt_B-cell_6-Good-D10-C2-ZT2-20-107-FOV230-256px_Statistics_1000002358,wt_B-cell,10.905172,17.110168,1
6-Good-D10-C2-ZT2-20-107-FOV230-256px_Statistics_wt_B-cell_6-Good-D10-C2-ZT2-20-107-FOV230-256px_Statistics_1000006736,wt_B-cell,11.358357,17.480593,0
6-Good-D11-C2-ZT6-30-117-FOV230-256px_Statistics_wt_B-cell_6-Good-D11-C2-ZT6-30-117-FOV230-256px_Statistics_1000004239,wt_B-cell,11.197402,17.16303,0
7-Good-D11-B2-ZT2-30-117-FOV230-256px_Statistics_wt_B-cell_7-Good-D11-B2-ZT2-30-117-FOV230-256px_Statistics_1000000006,wt_B-cell,11.52553,16.57938,1
7-Good-D11-B2-ZT2-30-117-FOV230-256px_Statistics_wt_B-cell_7-Good-D11-B2-ZT2-30-117-FOV230-256px_Statistics_1000007330,wt_B-cell,10.877316,17.695171,0
